CustomerID,Age,Annual Income (k$),Spending Score (1-100),Purchase Frequency,Avg Purchase Value,Cluster
1,56,84,71.90532863934976,5.9,106.07189268142218,0
2,69,86,38.482533274853694,6.0,62.75525315688768,0
3,46,41,38.96748734807237,7.5,29.958887192231188,1
4,32,23,10.00203568576874,1.7,67.00721972466616,1
5,60,76,56.35030896581105,2.9,72.70410997676333,0
6,25,51,66.97056877400294,6.0,19.51216402171132,1
7,38,111,99.6745597095112,8.7,19.1768769850466,0
8,56,65,59.9863752834264,5.8,10.0,1
9,36,58,27.951925315688268,2.8,17.270029905918847,1
10,40,38,37.24796269605304,7.0,10.0,1
11,28,93,64.06089439416273,7.5,120.73113929703152,0
12,28,73,37.845778299058345,2.8,15.288871677899198,1
13,41,46,29.263233370597437,4.1,10.0,1
14,53,110,65.36292947398614,5.6,10.0,0
15,57,102,59.49860710949255,5.2,44.21048014431891,0
16,41,119,86.37824527042831,4.2,35.86395211073362,0
17,20,66,27.080446667008616,3.3,82.53188286233379,1
18,39,76,31.257888465442548,1.4,43.25428478244954,1
19,19,72,15.24889918440732,1.0,32.334079320308675,1
20,41,66,83.03224203766274,9.6,30.559817377522062,0
21,61,26,26.552455620136197,8.5,46.18524760567607,1
22,47,53,48.111628475832106,3.9,17.03015503096498,1
23,55,16,43.9297829031846,9.6,37.416182805955145,1
24,19,17,48.982579316361566,6.9,59.01909462182333,1
25,38,115,69.64974952437359,5.1,67.40225030898941,0
26,50,70,36.38690319071132,5.2,30.50806151524595,1
27,29,95,28.06375036192557,1.3,15.196224870842958,1
28,39,73,1.0,1.4,28.74628040958777,1
29,61,16,29.020298388183537,6.2,35.49236621917713,1
30,42,16,37.03208858733372,5.8,10.0,1
31,66,106,67.57532157796761,2.5,80.54628273127848,0
32,44,68,39.553535452407885,9.5,42.228380646841934,0
33,59,101,89.78239217667894,7.9,47.72432520723844,0
34,45,115,51.82675957526971,1.6,35.217597656469934,0
35,33,110,69.2964475878737,9.3,36.30866897091899,0
36,32,111,74.09051647045226,9.8,68.71918124395924,0
37,64,15,38.67613383759115,10.0,14.95365421714668,1
38,68,33,1.0,1.0,11.765800981642908,1
39,61,16,29.94446129421323,7.5,32.65690480114567,1
40,69,67,57.04172368075504,5.7,55.84569332476391,0
41,20,58,67.20985844365423,7.2,10.0,1
42,54,104,83.73934985831866,9.7,69.54442089730955,0
43,68,46,23.905572527093128,7.0,107.05094638581328,1
44,24,84,69.73335341478335,8.5,52.48862368126513,0
45,38,46,33.1961258908082,8.7,10.0,1
46,26,82,49.73082265449574,8.5,43.321261755186384,0
47,56,69,27.559445946900315,4.5,10.0,1
48,35,89,23.63119480158964,2.6,137.6211501619248,0
49,21,70,39.39255248096907,4.3,99.27024060953424,0
50,42,31,59.43333114570361,9.0,10.0,1
51,31,52,65.54726023141313,1.9,10.0,1
52,67,38,26.59622262489859,5.4,10.0,1
53,26,83,65.89158290154484,2.7,32.970277831808296,0
54,43,112,68.08126522645108,6.0,10.0,0
55,19,84,43.33896420827158,8.7,35.32932455011317,0
56,37,100,87.21413392169116,8.9,41.77264007189245,0
57,45,25,24.1222113019335,2.7,22.754640911886657,1
58,64,30,69.57029411941673,9.1,31.6893553081394,1
59,24,111,50.77982277025866,6.1,20.231472003685457,0
